,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_nbl
0,215,9623.796875,9621.671875,269528.14747545583,0.9908267319551669,6008,215
0,216,9674.0625,9671.921875,269527.0982853061,1.0491901497007348,6037,216
0,217,9725.578125,9723.40625,269525.98238600837,1.1158992977580056,6065,217
0,218,9775.359375,9773.1875,269525.09732017264,0.8850658357259817,6094,218
0,219,9826.359375,9824.171875,269523.85834376176,1.2389764108811505,6122,219
0,220,9879.71875,9877.515625,269522.8677625831,0.9905811786884442,6151,220
0,221,9932.484375,9930.265625,269520.83126168035,2.0365009027300403,6178,221
0,222,9985.09375,9982.859375,269520.1223589348,0.7089027455658652,6207,222
0,223,10037.71875,10035.453125,269518.78727233806,1.335086596722249,6235,223
0,224,10087.71875,10085.453125,269518.100683379,0.6865889590699226,6264,224
0,225,10139.25,10136.984375,269517.08179017354,1.0188932054443285,6289,225
0,226,10188.515625,10186.234375,269516.2358162608,0.8459739127429202,6317,226
0,227,10241.8125,10239.53125,269515.2538672657,0.9819489950896241,6345,227
0,228,10288.96875,10286.671875,269514.4656824408,0.788184824923519,6370,228
0,229,10337.421875,10335.109375,269513.3650703097,1.1006121310638264,6397,229
0,230,10385.3125,10383.0,269512.7410693441,0.6240009656175971,6426,230
0,231,10434.390625,10432.0625,269511.94586641516,0.7952029289444908,6454,231
0,232,10478.4375,10476.109375,269511.2221199404,0.7237464747740887,6483,232
0,233,10524.375,10522.046875,269510.269365173,0.9527547673787922,6512,233
0,234,10573.34375,10571.015625,269509.45318552305,0.816179649962578,6541,234
0,235,10623.015625,10620.671875,269508.61065146665,0.8425340563990176,6568,235
0,236,10671.765625,10669.421875,269507.9345831216,0.6760683450265788,6594,236
0,237,10719.53125,10717.171875,269507.2014279498,0.7331551717943512,6621,237
0,238,10767.03125,10764.640625,269506.2432091595,0.9582187902997248,6648,238
0,239,10815.921875,10813.5,269505.381818361,0.8613907985272817,6675,239
0,240,10861.109375,10858.671875,269504.5147694304,0.8670489306095988,6703,240
0,241,10907.296875,10904.84375,269503.85913872556,0.6556307048304006,6731,241
0,242,10951.5,10949.046875,269503.07087699743,0.7882617281284183,6759,242
0,243,10996.34375,10993.859375,269502.2308293672,0.8400476302485913,6787,243
0,244,11041.03125,11038.53125,269501.55643894937,0.6743904178147204,6813,244
0,245,11089.0,11086.46875,269500.4462526362,1.1101863131625578,6840,245
0,246,11136.5,11133.953125,269499.5404328868,0.9058197494014166,6867,246
0,247,11185.28125,11182.703125,269498.7553444868,0.7850884000072256,6896,247
0,248,11233.375,11230.796875,269497.78918869846,0.9661557883373462,6924,248
0,249,11284.109375,11281.515625,269496.90431136556,0.8848773328936659,6952,249
0,250,11337.203125,11334.59375,269496.0803399724,0.8239713931689039,6981,250
0,251,11386.875,11384.25,269495.3533061862,0.7270337861846201,7010,251
0,252,11435.671875,11433.046875,269494.65814513515,0.6951610510586761,7039,252
0,253,11481.59375,11478.96875,269493.9298197086,0.7283254265785217,7068,253
0,254,11530.515625,11527.890625,269493.4709658988,0.45885380974505097,7097,254
0,255,11582.671875,11580.046875,269492.597157406,0.873808492848184,7125,255
0,256,11632.75,11630.109375,269492.0503626768,0.5467947291908786,7153,256
0,257,11682.015625,11679.359375,269491.34604244004,0.7043202367494814,7181,257
0,258,11736.625,11733.96875,269490.6118638431,0.7341785969329067,7209,258
0,259,11787.765625,11785.109375,269489.907827095,0.7040367480949499,7237,259
